Unnamed: 0,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,individualPracticeAttempts,quizAttempts,x,y,width,height,color,block,blockNum,discreteWorld,trialStartTime,turnStartTime,timeElapsedInTurn,timeElapsedInTrial,eventType,practice
50,5f615629aa4f2b137cbb8aed,pilot_class_test,8112-faa4477d-f5db-4414-b463-d41931fd5654,1600214569209.0,undefined,C,L,5.0,1,1,0,0,9,2,1,2,"[179, 47, 10, 155]","{'x': 9, 'y': 2, 'width': 1, 'height': 2, 'color': [179, 47, 10, 155]}",6,"[[True, True, True, True, True, True, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, True, True, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False]]",1600214450266.0,1600214522417.0,46792,118943,block,False
51,5f615633aa4f2b137cbb8af5,pilot_class_test,8112-faa4477d-f5db-4414-b463-d41931fd5654,1600214579946.0,undefined,C,L,5.0,1,1,0,0,9,4,2,1,"[10, 47, 179, 155]","{'x': 9, 'y': 4, 'width': 2, 'height': 1, 'color': [10, 47, 179, 155]}",7,"[[True, True, True, True, True, True, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, True, True, True, False, False, False, False, False], [True, False, False, False, True, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False]]",1600214450266.0,1600214522417.0,57529,129680,block,False
52,5f615671aa4f2b137cbb8b1c,pilot_class_test,8112-faa4477d-f5db-4414-b463-d41931fd5654,1600214641149.0,undefined,L,C,6.0,1,2,0,0,3,0,2,1,"[10, 47, 179, 155]","{'x': 3, 'y': 0, 'width': 2, 'height': 1, 'color': [10, 47, 179, 155]}",0,"[[False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1600214584905.0,1600214616198.0,24951,56244,block,False
53,5f615672aa4f2b137cbb8b1e,pilot_class_test,8112-faa4477d-f5db-4414-b463-d41931fd5654,1600214642480.0,undefined,L,C,6.0,1,2,0,0,2,0,1,2,"[179, 47, 10, 155]","{'x': 2, 'y': 0, 'width': 1, 'height': 2, 'color': [179, 47, 10, 155]}",1,"[[False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1600214584905.0,1600214616198.0,26282,57575,block,False
54,5f615673aa4f2b137cbb8b20,pilot_class_test,8112-faa4477d-f5db-4414-b463-d41931fd5654,1600214643551.0,undefined,L,C,6.0,1,2,0,0,2,2,1,2,"[179, 47, 10, 155]","{'x': 2, 'y': 2, 'width': 1, 'height': 2, 'color': [179, 47, 10, 155]}",2,"[[False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, True, True, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1600214584905.0,1600214616198.0,27353,58646,block,False
55,5f615674aa4f2b137cbb8b21,pilot_class_test,8112-faa4477d-f5db-4414-b463-d41931fd5654,1600214644935.0,undefined,L,C,6.0,1,2,0,0,2,4,1,2,"[179, 47, 10, 155]","{'x': 2, 'y': 4, 'width': 1, 'height': 2, 'color': [179, 47, 10, 155]}",3,"[[False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, True, True, True, True, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1600214584905.0,1600214616198.0,28737,60030,block,False
56,5f615686aa4f2b137cbb8b30,pilot_class_test,8112-faa4477d-f5db-4414-b463-d41931fd5654,1600214662480.0,undefined,L,C,6.0,1,2,0,0,8,0,2,1,"[10, 47, 179, 155]","{'x': 8, 'y': 0, 'width': 2, 'height': 1, 'color': [10, 47, 179, 155]}",4,"[[False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, True, True, True, True, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1600214584905.0,1600214616198.0,46282,77575,block,False
57,5f615688aa4f2b137cbb8b32,pilot_class_test,8112-faa4477d-f5db-4414-b463-d41931fd5654,1600214664022.0,undefined,L,C,6.0,1,2,0,0,8,1,1,2,"[179, 47, 10, 155]","{'x': 8, 'y': 1, 'width': 1, 'height': 2, 'color': [179, 47, 10, 155]}",5,"[[False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, True, True, True, True, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, True, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1600214584905.0,1600214616198.0,47824,79117,block,False
58,5f615689aa4f2b137cbb8b34,pilot_class_test,8112-faa4477d-f5db-4414-b463-d41931fd5654,1600214665550.0,undefined,L,C,6.0,1,2,0,0,8,3,1,2,"[179, 47, 10, 155]","{'x': 8, 'y': 3, 'width': 1, 'height': 2, 'color': [179, 47, 10, 155]}",6,"[[False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, True, True, True, True, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, True, True, True, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1600214584905.0,1600214616198.0,49352,80645,block,False
59,5f61568baa4f2b137cbb8b38,pilot_class_test,8112-faa4477d-f5db-4414-b463-d41931fd5654,1600214667014.0,undefined,L,C,6.0,1,2,0,0,8,5,2,1,"[10, 47, 179, 155]","{'x': 8, 'y': 5, 'width': 2, 'height': 1, 'color': [10, 47, 179, 155]}",7,"[[False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, True, True, True, True, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, True, True, True, True, False, False, False, False], [True, False, False, False, False, True, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1600214584905.0,1600214616198.0,50816,82109,block,False
